id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,gene,pval.fdr,log.pval.fdr,chr,snp_pos_gmean,OR,CI_lower,CI_upper
10037_98_SIGLEC12,ieu-b-18,multiple sclerosis || id:ieu-b-18,10037_98_SIGLEC12,Inverse variance weighted,17,0.0281305,0.031105566,0.365806738,SIGLEC12,0.915766036,0.038215468,19,51481125.53,1.028529899,0.967696854,1.093187138
10070_22_PLCG2,ieu-b-18,multiple sclerosis || id:ieu-b-18,10070_22_PLCG2,Inverse variance weighted,4,-0.179093328,0.106341728,0.092156486,PLCG2,0.729061051,0.137236103,16,81860101.25,0.836027871,0.678735945,1.029771011
10088_37_APRT,ieu-b-18,multiple sclerosis || id:ieu-b-18,10088_37_APRT,Inverse variance weighted,4,-0.048560242,0.177852324,0.784824871,APRT,0.993478776,0.002841407,16,88834829.55,0.952599951,0.672232647,1.349899726
10346_5_STAT3,ieu-b-18,multiple sclerosis || id:ieu-b-18,10346_5_STAT3,Inverse variance weighted,2,-0.814480636,0.124338194,5.73E-11,STAT3,6.60E-08,7.180130954,17,42397727.03,0.442869278,0.347085721,0.565085757
10366_11_PDGFRA,ieu-b-18,multiple sclerosis || id:ieu-b-18,10366_11_PDGFRA,Inverse variance weighted,2,0.101170496,0.174084927,0.561135334,PDGFRA,0.977196122,0.010018265,4,54288565.01,1.106465273,0.786599574,1.556402319
10391_1_ANGPTL3,ieu-b-18,multiple sclerosis || id:ieu-b-18,10391_1_ANGPTL3,Inverse variance weighted,6,-0.111179078,0.075732058,0.142088381,ANGPTL3,0.769556868,0.113759282,1,62625653.36,0.894778499,0.771349337,1.037958451
10419_1_SCARA5,ieu-b-18,multiple sclerosis || id:ieu-b-18,10419_1_SCARA5,Inverse variance weighted,7,0.024696749,0.058075995,0.670655291,SCARA5,0.991777786,0.003585623,8,28021341.89,1.02500424,0.914724637,1.148579199
10440_26_CLMP,ieu-b-18,multiple sclerosis || id:ieu-b-18,10440_26_CLMP,Inverse variance weighted,2,-0.069665341,0.178896727,0.696968051,CLMP,0.993478776,0.002841407,11,123208479.5,0.932705906,0.656847813,1.324416842
10442_1_TMEM190,ieu-b-18,multiple sclerosis || id:ieu-b-18,10442_1_TMEM190,Inverse variance weighted,19,0.048413007,0.02745481,0.077837987,TMEM190,0.698584534,0.155781033,19,55394382.66,1.049604059,0.994616125,1.107632033
10445_20_APOM,ieu-b-18,multiple sclerosis || id:ieu-b-18,10445_20_APOM,Inverse variance weighted,7,-0.300176269,0.252459272,0.234436246,APOM,0.86119953,0.064896216,6,31679186.74,0.740687649,0.451582841,1.214878297
10451_11_NUCB1,ieu-b-18,multiple sclerosis || id:ieu-b-18,10451_11_NUCB1,Inverse variance weighted,4,0.187659528,0.224917517,0.404084792,NUCB1,0.940720759,0.026539272,19,48858065,1.206422692,0.776329057,1.874792266
10512_13_CSF2RB,ieu-b-18,multiple sclerosis || id:ieu-b-18,10512_13_CSF2RB,Inverse variance weighted,16,0.098765717,0.05329033,0.063831985,CSF2RB,0.652129767,0.185665976,22,36915986.29,1.103807666,0.994332789,1.225335599
10558_26_PCDH9,ieu-b-18,multiple sclerosis || id:ieu-b-18,10558_26_PCDH9,Inverse variance weighted,9,0.09350601,0.070120278,0.182364879,PCDH9,0.787982734,0.103483299,13,66760075.27,1.098017202,0.957021201,1.25978586
10565_19_SLITRK3,ieu-b-18,multiple sclerosis || id:ieu-b-18,10565_19_SLITRK3,Inverse variance weighted,3,-0.057988223,0.076535362,0.448651105,SLITRK3,0.964143158,0.015858476,3,165299680.7,0.943661061,0.812209042,1.096387941
10569_28_MFAP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,10569_28_MFAP2,Inverse variance weighted,6,-0.014070696,0.053797263,0.793668089,MFAP2,0.993478776,0.002841407,1,16890179.04,0.986027834,0.887352179,1.095676455
10603_1_HTN3,ieu-b-18,multiple sclerosis || id:ieu-b-18,10603_1_HTN3,Inverse variance weighted,2,-0.051806826,0.229953922,0.821751962,HTN3,0.998431193,0.000681859,4,70153634.58,0.94951227,0.605006236,1.490188855
10605_22_APMAP,ieu-b-18,multiple sclerosis || id:ieu-b-18,10605_22_APMAP,Inverse variance weighted,3,-0.31529425,0.138408699,0.022726907,APMAP,0.443752488,0.352859198,20,24966139.99,0.729574165,0.556228944,0.956941325
10620_21_MSMB,ieu-b-18,multiple sclerosis || id:ieu-b-18,10620_21_MSMB,Inverse variance weighted,9,0.078593568,0.032110916,0.0143825,MSMB,0.352524259,0.452810992,10,45955660.98,1.081764569,1.015779373,1.152036174
10627_87_APLP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,10627_87_APLP2,Inverse variance weighted,3,-0.165941858,0.081766744,0.042412055,APLP2,0.574808087,0.24047713,11,130083121.2,0.847095484,0.721657466,0.994337056
10630_5_HTATIP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,10630_5_HTATIP2,Inverse variance weighted,17,-0.018939657,0.038429308,0.622122768,HTATIP2,0.977196122,0.010018265,11,20370059.58,0.981238572,0.910045117,1.058001539
10666_7_GNPTG,ieu-b-18,multiple sclerosis || id:ieu-b-18,10666_7_GNPTG,Inverse variance weighted,4,0.03051031,0.068198761,0.654605493,GNPTG,0.986475005,0.005913914,16,1288326.085,1.03098052,0.901983311,1.178426273
10672_75_SFTPB,ieu-b-18,multiple sclerosis || id:ieu-b-18,10672_75_SFTPB,Inverse variance weighted,9,-0.045843397,0.051246857,0.371022255,SFTPB,0.920337668,0.036052802,2,85519766.66,0.955191536,0.86390952,1.056118551
10754_113_PROK2,ieu-b-18,multiple sclerosis || id:ieu-b-18,10754_113_PROK2,Inverse variance weighted,16,0.035937213,0.039472042,0.362586676,PROK2,0.91472166,0.038711037,3,71781346.05,1.03659076,0.959418421,1.119970579
10800_15_SERPINH1,ieu-b-18,multiple sclerosis || id:ieu-b-18,10800_15_SERPINH1,Inverse variance weighted,3,-0.209768468,0.133344782,0.115689083,SERPINH1,0.758928934,0.119798889,11,75541892.83,0.810771944,0.624300009,1.05294111
10809_14_KLRB1,ieu-b-18,multiple sclerosis || id:ieu-b-18,10809_14_KLRB1,Inverse variance weighted,2,-0.348195576,0.08852565,8.38E-05,KLRB1,0.012066749,1.918409728,12,9427892.841,0.705960794,0.59350725,0.839721238
11142_11_ANGPTL1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11142_11_ANGPTL1,Inverse variance weighted,7,-0.012456612,0.067439892,0.853458947,ANGPTL1,0.998431193,0.000681859,1,178803934.9,0.98762065,0.865334794,1.127187483
11145_72_KIAA1549L,ieu-b-18,multiple sclerosis || id:ieu-b-18,11145_72_KIAA1549L,Inverse variance weighted,10,0.020457962,0.047886431,0.669220291,KIAA1549L,0.991777786,0.003585623,11,33539573.38,1.020668661,0.929229582,1.121105629
11152_46_KLK13,ieu-b-18,multiple sclerosis || id:ieu-b-18,11152_46_KLK13,Inverse variance weighted,14,-0.024134909,0.036905575,0.513135143,KLK13,0.977196122,0.010018265,19,51050812.21,0.976154008,0.908037286,1.04938053
11177_16_KRT5,ieu-b-18,multiple sclerosis || id:ieu-b-18,11177_16_KRT5,Inverse variance weighted,3,-0.085321211,0.117256795,0.4668315,KRT5,0.967772715,0.014226627,12,52410378.26,0.918217295,0.729683405,1.155464131
11178_21_SVEP1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11178_21_SVEP1,Inverse variance weighted,14,0.003842432,0.061665519,0.95031527,SVEP1,0.998431193,0.000681859,9,110459924.1,1.003849824,0.889565636,1.132816319
11187_11_CLEC12A,ieu-b-18,multiple sclerosis || id:ieu-b-18,11187_11_CLEC12A,Inverse variance weighted,15,0.000590239,0.025098137,0.981237681,CLEC12A,0.998431193,0.000681859,12,9988865.276,1.000590413,0.952560069,1.051042562
11196_31_COL6A3,ieu-b-18,multiple sclerosis || id:ieu-b-18,11196_31_COL6A3,Inverse variance weighted,2,-0.005187348,0.226993439,0.981767999,COL6A3,0.998431193,0.000681859,2,237356670.9,0.994826083,0.637567906,1.552272199
11208_15_NAGPA,ieu-b-18,multiple sclerosis || id:ieu-b-18,11208_15_NAGPA,Inverse variance weighted,10,-0.004782855,0.039354838,0.903270008,NAGPA,0.998431193,0.000681859,16,5075922.794,0.995228564,0.921347195,1.075034364
11211_7_TBCE,ieu-b-18,multiple sclerosis || id:ieu-b-18,11211_7_TBCE,Inverse variance weighted,2,-0.22898262,0.160966288,0.154866598,TBCE,0.770087598,0.113459871,1,235239658.4,0.795342357,0.580145385,1.090363693
11212_7_TXNDC5,ieu-b-18,multiple sclerosis || id:ieu-b-18,11212_7_TXNDC5,Inverse variance weighted,4,-0.035061047,0.173203806,0.839583282,TXNDC5,0.998431193,0.000681859,6,7858170.069,0.965546471,0.687605156,1.355836236
11219_95_FGFBP3,ieu-b-18,multiple sclerosis || id:ieu-b-18,11219_95_FGFBP3,Inverse variance weighted,2,-0.206409765,0.059643649,0.00053874,FGFBP3,0.041375203,1.383259862,10,91808919.51,0.813499664,0.723748505,0.914380754
11241_8_ASL,ieu-b-18,multiple sclerosis || id:ieu-b-18,11241_8_ASL,Inverse variance weighted,2,-0.084013128,0.145483377,0.563618089,ASL,0.977196122,0.010018265,7,65935885.01,0.919419186,0.691314413,1.222788971
11248_43_UROS,ieu-b-18,multiple sclerosis || id:ieu-b-18,11248_43_UROS,Inverse variance weighted,5,-0.147183859,0.104670228,0.159674433,UROS,0.770087598,0.113459871,10,125872409,0.863135268,0.703042801,1.059682981
11257_1_QDPR,ieu-b-18,multiple sclerosis || id:ieu-b-18,11257_1_QDPR,Inverse variance weighted,4,0.020665843,0.060590271,0.733046917,QDPR,0.993478776,0.002841407,4,17537105.81,1.02088086,0.906566323,1.149610022
11266_8_SELPLG,ieu-b-18,multiple sclerosis || id:ieu-b-18,11266_8_SELPLG,Inverse variance weighted,4,-0.090590817,0.080713416,0.261702521,SELPLG,0.886168581,0.052483652,12,108590062.9,0.913391379,0.779744394,1.06994525
11273_176_GSTT2B,ieu-b-18,multiple sclerosis || id:ieu-b-18,11273_176_GSTT2B,Inverse variance weighted,6,-0.058931449,0.116836915,0.613986874,GSTT2B,0.977196122,0.010018265,22,23909678.08,0.942771394,0.749812726,1.185386526
11278_4_COL11A2,ieu-b-18,multiple sclerosis || id:ieu-b-18,11278_4_COL11A2,Inverse variance weighted,6,-0.143711579,0.123730798,0.245444347,COL11A2,0.875392843,0.057797008,6,33272238.52,0.866137524,0.679618313,1.103846374
11288_26_NT5C2,ieu-b-18,multiple sclerosis || id:ieu-b-18,11288_26_NT5C2,Inverse variance weighted,2,0.128468529,0.129755682,0.322134931,NT5C2,0.902817555,0.044400005,10,103378512.9,1.137085636,0.881744799,1.466369571
11302_237_TNR,ieu-b-18,multiple sclerosis || id:ieu-b-18,11302_237_TNR,Inverse variance weighted,2,-0.19319606,0.125583821,0.12395491,TNR,0.769556868,0.113759282,1,175597817.5,0.824320342,0.6444614,1.054375058
11308_8_CREB3L4,ieu-b-18,multiple sclerosis || id:ieu-b-18,11308_8_CREB3L4,Inverse variance weighted,2,0.089626792,0.155994702,0.565595521,CREB3L4,0.977196122,0.010018265,1,154016987.2,1.093766005,0.805636345,1.484943028
11313_100_PCBD1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11313_100_PCBD1,Inverse variance weighted,3,0.079522793,0.115918982,0.492700211,PCBD1,0.973425835,0.011697132,10,70692059.35,1.082770238,0.862708507,1.358965838
11333_82_ARHGAP25,ieu-b-18,multiple sclerosis || id:ieu-b-18,11333_82_ARHGAP25,Inverse variance weighted,2,0.004142229,0.103046158,0.967935432,ARHGAP25,0.998431193,0.000681859,2,68859394.32,1.00415082,0.820510772,1.228891689
11347_9_TALDO1,ieu-b-18,multiple sclerosis || id:ieu-b-18,11347_9_TALDO1,Inverse variance weighted,2,0.46676446,0.43436001,0.282552621,TALDO1,0.889636358,0.050787476,11,573282.6709,1.594825714,0.680735696,3.73635329
11369_23_ADH5,ieu-b-18,multiple sclerosis || id:ieu-b-18,11369_23_ADH5,Inverse variance weighted,4,0.115507354,0.104506024,0.269042691,ADH5,0.886690676,0.052227858,4,99195925.17,1.122442769,0.914548798,1.377594911
11377_19_ADH7,ieu-b-18,multiple sclerosis || id:ieu-b-18,11377_19_ADH7,Inverse variance weighted,5,0.016309602,0.0580291,0.778665135,ADH7,0.993478776,0.002841407,4,99463034.36,1.016443329,0.907168169,1.138881496
11378_37_SYK,ieu-b-18,multiple sclerosis || id:ieu-b-18,11378_37_SYK,Inverse variance weighted,2,0.056510911,0.16388819,0.730234352,SYK,0.993478776,0.002841407,9,90835971.16,1.05813816,0.767428516,1.458971541
11387_3_ATF6B,ieu-b-18,multiple sclerosis || id:ieu-b-18,11387_3_ATF6B,Inverse variance weighted,3,-1.330962571,2.698053314,0.621797258,ATF6B,0.977196122,0.010018265,6,32292681.85,0.264222806,0.001334569,52.31179781
11388_75_WFDC2,ieu-b-18,multiple sclerosis || id:ieu-b-18,11388_75_WFDC2,Inverse variance weighted,2,-0.005296406,0.211084601,0.979982069,WFDC2,0.998431193,0.000681859,20,45483445.45,0.994717596,0.657689579,1.504453052
11390_24_CA8,ieu-b-18,multiple sclerosis || id:ieu-b-18,11390_24_CA8,Inverse variance weighted,7,-0.018119459,0.047397386,0.702247654,CA8,0.993478776,0.002841407,8,60249304.61,0.982043712,0.89492234,1.077646416
